timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621211995486,2008,Obtener terminales del cliente,200,OK,Brein 1-20,text,true,,1028,1349,2,2,https://new-frida-backend-frida-development.azurewebsites.net/graphql,2008,0,1010
1621211996984,720,Obtener terminales del cliente,200,OK,Brein 1-19,text,true,,1028,1349,2,2,https://new-frida-backend-frida-development.azurewebsites.net/graphql,719,0,487
1621211997704,375,obtener carrito del cliente,200,OK,Brein 1-19,text,true,,699,1718,2,2,https://new-frida-backend-frida-development.azurewebsites.net/graphql,375,0,0
1621211998079,238,obtener lista de productos,200,OK,Brein 1-19,text,true,,4590,2433,2,2,https://new-frida-backend-frida-development.azurewebsites.net/graphql,237,0,0
1621211997496,868,obtener carrito del cliente,200,OK,Brein 1-20,text,true,,699,1718,2,2,https://new-frida-backend-frida-development.azurewebsites.net/graphql,868,0,0
1621211998364,221,obtener lista de productos,200,OK,Brein 1-20,text,true,,4590,2433,3,3,https://new-frida-backend-frida-development.azurewebsites.net/graphql,221,0,0
1621211998318,744,Obtener terminales del cliente,200,OK,Brein 1-19,text,true,,1028,1349,3,3,https://new-frida-backend-frida-development.azurewebsites.net/graphql,744,0,510
1621211998484,732,Obtener terminales del cliente,200,OK,Brein 1-18,text,true,,1028,1349,3,3,https://new-frida-backend-frida-development.azurewebsites.net/graphql,732,0,501
1621211999062,271,obtener carrito del cliente,200,OK,Brein 1-19,text,true,,699,1718,3,3,https://new-frida-backend-frida-development.azurewebsites.net/graphql,271,0,0
1621211998586,752,Obtener terminales del cliente,200,OK,Brein 1-20,text,true,,1028,1349,3,3,https://new-frida-backend-frida-development.azurewebsites.net/graphql,752,0,523
1621211999217,233,obtener carrito del cliente,200,OK,Brein 1-18,text,true,,699,1718,3,3,https://new-frida-backend-frida-development.azurewebsites.net/graphql,233,0,0
1621211999334,231,obtener lista de productos,200,OK,Brein 1-19,text,true,,4590,2433,3,3,https://new-frida-backend-frida-development.azurewebsites.net/graphql,231,0,0
1621211999338,244,obtener carrito del cliente,200,OK,Brein 1-20,text,true,,699,1718,3,3,https://new-frida-backend-frida-development.azurewebsites.net/graphql,244,0,0
1621211999450,225,obtener lista de productos,200,OK,Brein 1-18,text,true,,4590,2433,3,3,https://new-frida-backend-frida-development.azurewebsites.net/graphql,225,0,0
1621211999582,226,obtener lista de productos,200,OK,Brein 1-20,text,true,,4590,2433,3,3,https://new-frida-backend-frida-development.azurewebsites.net/graphql,226,0,0
1621211999567,716,Obtener terminales del cliente,200,OK,Brein 1-19,text,true,,1028,1349,4,4,https://new-frida-backend-frida-development.azurewebsites.net/graphql,716,0,478
1621211999675,718,Obtener terminales del cliente,200,OK,Brein 1-18,text,true,,1028,1349,4,4,https://new-frida-backend-frida-development.azurewebsites.net/graphql,718,0,495
1621212000284,237,obtener carrito del cliente,200,OK,Brein 1-19,text,true,,699,1718,4,4,https://new-frida-backend-frida-development.azurewebsites.net/graphql,237,0,0
1621211999808,758,Obtener terminales del cliente,200,OK,Brein 1-20,text,true,,1028,1349,4,4,https://new-frida-backend-frida-development.azurewebsites.net/graphql,758,0,525
1621212000393,239,obtener carrito del cliente,200,OK,Brein 1-18,text,true,,699,1718,4,4,https://new-frida-backend-frida-development.azurewebsites.net/graphql,239,0,0
1621211999983,736,Obtener terminales del cliente,200,OK,Brein 1-17,text,true,,1028,1349,4,4,https://new-frida-backend-frida-development.azurewebsites.net/graphql,736,0,511
